SRPcode,SRNameEng,District/SAZPcode,District/SAZNameEng,TspPcode,TownshipNameEng,TownshipNameMMR
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,???????
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017022,Danubyu,??????
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017026,Dedaye,??????
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017015,Einme,??????
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017008,Hinthada,???????
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017013,Ingapu,???????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017002,Kangyidaunt,?????????????
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017025,Kyaiklat,?????????
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017012,Kyangin,???????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017007,Kyaunggon,????????????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017005,Kyonpyaw,?????????
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017016,Labutta,???????
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017010,Lemyethna,??????????
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017019,Maubin,??????
MMR017,Ayeyarwady,MMR017D004,Labutta,MMR017018,Mawlamyinegyun,?????????????????
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017011,Myanaung,?????????
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017014,Myaungmya,?????????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017004,Ngapudaw,??????
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017021,Nyaungdon,??????????
MMR017,Ayeyarwady,MMR017D005,Maubin,MMR017020,Pantanaw,?????????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017001,Pathein,??????
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017023,Pyapon,??????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017003,Thabaung,????????
MMR017,Ayeyarwady,MMR017D003,Myaungmya,MMR017017,Wakema,???????
MMR017,Ayeyarwady,MMR017D001,Pathein,MMR017006,Yegyi,??????
MMR017,Ayeyarwady,MMR017D002,Hinthada,MMR017009,Zalun,?????
MMR007,Bago (East),MMR007D001,Bago,MMR007001,Bago,?????
MMR007,Bago (East),MMR007D001,Bago,MMR007007,Daik-U,???????
MMR007,Bago (East),MMR007D002,Taungoo,MMR007014,Htantabin,????????
MMR007,Bago (East),MMR007D001,Bago,MMR007003,Kawa,??
MMR007,Bago (East),MMR007D002,Taungoo,MMR007011,Kyaukkyi,??????????
MMR007,Bago (East),MMR007D001,Bago,MMR007006,Kyauktaga,???????????
MMR007,Bago (East),MMR007D001,Bago,MMR007005,Nyaunglebin,???????????
MMR007,Bago (East),MMR007D002,Taungoo,MMR007013,Oktwin,?????????
MMR007,Bago (East),MMR007D002,Taungoo,MMR007012,Phyu,????
MMR007,Bago (East),MMR007D001,Bago,MMR007008,Shwegyin,????????
MMR007,Bago (East),MMR007D002,Taungoo,MMR007009,Taungoo,???????
MMR007,Bago (East),MMR007D001,Bago,MMR007002,Thanatpin,???????
MMR007,Bago (East),MMR007D001,Bago,MMR007004,Waw,???
MMR007,Bago (East),MMR007D002,Taungoo,MMR007010,Yedashe,????????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008014,Gyobingauk,?????????????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008008,Letpadan,?????????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008009,Minhla,??????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008013,Monyo,???????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008012,Nattalin,????????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008010,Okpho,???????
MMR008,Bago (West),MMR008D001,Pyay,MMR008003,Padaung,??????????
MMR008,Bago (West),MMR008D001,Pyay,MMR008002,Paukkhaung,???????????
MMR008,Bago (West),MMR008D001,Pyay,MMR008004,Paungde,?????????
MMR008,Bago (West),MMR008D001,Pyay,MMR008001,Pyay,????
MMR008,Bago (West),MMR008D001,Pyay,MMR008006,Shwedaung,?????????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008007,Thayarwady,???????
MMR008,Bago (West),MMR008D001,Pyay,MMR008005,Thegon,???????
MMR008,Bago (West),MMR008D002,Thayarwady,MMR008011,Zigon,????????
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,?????
